#OTU ID	taxonomy	16S-stag	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F87	unknown
e4d72f573464fee5207b4cb3be5fa08d	Kingdom.Eukaryota; Supergroup.Archaeplastida; Phylum.Chlorophyta; Class.Mamiellophyceae; Subclass.Mamiellophyceae_X; Order.Mamiellales; Suborder.Mamiellales_X; Family.Mamiellaceae; Genus.Mamiellaceae_X; Species.Mamiellaceae_X	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dffdf9532a1ee86e525509fe5b9c5bda	Kingdom.Eukaryota; Supergroup.Stramenopiles; Phylum.Stramenopiles_X; Class.Stramenopiles_XX; Subclass.Stramenopiles_XXX; Order.Stramenopiles_XXXX; Suborder.Stramenopiles_XXXXX; Family.Stramenopiles_XXXXXX; Genus.Stramenopile_Unknown; Species.Stramenopile	0.0	0.028293316028552888	0.021616684426853404	0.039677975848188614	0.03398268398268398	0.02376599634369287	0.01934984520123839	0.012455997833739508	0.0	0.03436426116838488	0.04834960483496048	0.034482758620689655	0.03190268533394538	0.03103520099979171	0.022695367337388864	0.004643540016388965	0.004684317718940937	0.0	0.01079913606911447	0.01900674432863274	0.03365723137586255	0.003808670325977372	0.02129239910869027	0.6666666666666666
bf3cf6f18fcf7175fd70616ca9c9d1fc	Kingdom.Eukaryota; Supergroup.Archaeplastida; Phylum.Chlorophyta; Class.Prasinophyceae; Subclass.Prasinophyceae_X; Order.Prasino-clade-9; Suborder.Prasino-clade-9_X; Family.Prasino-clade-9_XX; Genus.Prasino-clade-9_XXX; Species.Prasino-clade-9_XXX	0.0	0.019597663854639843	0.005480286192723398	0.016101207590569294	0.017965367965367966	0.031992687385740404	0.011222910216718266	0.010560519902518278	0.02270690170301763	0.007137192704203013	0.099953509995351	0.022030651340996167	0.008951113151250861	0.01583003540928973	0.007955077211043519	0.019120458891013385	0.0034623217922606924	0.025714285714285714	0.03023758099352052	0.005518087063151441	0.0136600478805802	0.002352414024868377	0.018816538747214655	0.3333333333333333
69f200867598d2a84a368ccc2a32c290	Kingdom.Eukaryota; Supergroup.Stramenopiles; Phylum.Ochrophyta; Class.Dictyochophyceae; Subclass.Dictyochophyceae_X	0.0	0.0227125243348475	0.04011265032729487	0.0488786658999425	0.04199134199134199	0.04722730042656916	0.0348297213622291	0.03438938532358516	0.030773827308037047	0.0317208564631245	0.020455602045560205	0.022988505747126436	0.06908423226991049	0.05207248489897938	0.04936827328029948	0.060912319038514066	0.07474541751527494	0.06142857142857143	0.10367170626349892	0.02534232577151032	0.03492465849880298	0.06317911952503641	0.03144342659074028	0.0
18100a59c7c5e99d864f5058168e81ef	Kingdom.Eukaryota; Supergroup.Hacrobia; Phylum.Haptophyta; Class.Prymnesiophyceae; Subclass.Prymnesiophyceae_X; Order.Prymnesiophyceae_XX; Suborder.Prymnesiophyceae_XXX; Family.Braarudosphaeraceae; Genus.Braarudosphaeraceae_X; Species.Braarudosphaeraceae_X	0.0	0.045165476963011035	0.027477546049627037	0.034310906651332185	0.03636363636363636	0.02376599634369287	0.04218266253869969	0.034930950446791224	0.03794442784583209	0.04705260375363468	0.02185030218503022	0.04559386973180077	0.03075510672481065	0.04603207665069777	0.03766963032288254	0.04425020486205954	0.06313645621181263	0.06428571428571428	0.08855291576673865	0.029429797670141016	0.044500774538797354	0.019155371345356782	0.03490963109680614	0.0
dd4f77cf004b652cd0249d3cca86060c	Kingdom.Eukaryota; Supergroup.Hacrobia; Phylum.Haptophyta; Class.Prymnesiophyceae; Subclass.Prymnesiophycidae_X; Order.Prymnesiales; Suborder.Prymnesiales_X; Family.Chrysochromulinaceae; Genus.Chrysochromulinaceae_X; Species.Chrysochromulinaceae_X	0.0	0.028682673588578844	0.015070787029989343	0.02817711328349626	0.03874458874458874	0.030469226081657527	0.030959752321981424	0.023287300297860816	0.03525545264415895	0.022997620935765267	0.03672710367271037	0.022988505747126436	0.03649299977048428	0.021453863778379503	0.0313523631258774	0.036055722480196666	0.036863543788187375	0.08428571428571428	0.04535637149028078	0.021765787860208462	0.01689902830587241	0.018371233337067323	0.028224808120821985	0.0
c22060612201ebae3067d1c04daedf96	Kingdom.Eukaryota; Supergroup.Hacrobia; Phylum.Haptophyta; Class.Prymnesiophyceae; Subclass.Prymnesiophycidae_X; Order.Phaeocystales; Suborder.Phaeocystales_X; Family.Phaeocystaceae; Genus.Phaeocystaceae_X; Species.Phaeocystaceae_X	0.0	0.014146658014276444	0.014005175825848683	0.025876940770557792	0.019913419913419914	0.011882998171846435	0.016640866873065017	0.020579474681830492	0.03346280250971019	0.011102299762093577	0.0	0.010727969348659003	0.017213679137020887	0.014372005832118308	0.0156761815629387	0.0071018847309478285	0.016904276985743382	0.07142857142857142	0.0	0.01072961373390558	0.024644416279397268	0.016466898174078638	0.006932409012131715	0.0
2f52bfb075d038a1b72a4dd9d53a01e8	Kingdom.Eukaryota; Supergroup.Stramenopiles; Phylum.Ochrophyta; Class.Dictyochophyceae; Subclass.Dictyochophyceae_X; Order.Dictyochophyceae_XX; Suborder.Dictyochophyceae_XXX; Family.Dictyochophyceae_XXXX; Genus.Dictyochophyceae_XXXXX; Species.Dictyochophyceae_XXXXX	0.0	0.02426995457495133	0.03767696757497336	0.04312823461759632	0.044805194805194806	0.038391224862888484	0.037925696594427245	0.038451123747630656	0.033761577532118316	0.032778218345228656	0.009762900976290097	0.03295019157088123	0.03603396832683039	0.032909810456154966	0.044922788956481045	0.027314941272876262	0.026272912423625255	0.03428571428571429	0.07127429805615551	0.029123237277743717	0.031685678073510776	0.049848773384115606	0.0428323842535281	0.0
c446bbac52b4ab523ce0856218cc3516	Kingdom.Eukaryota; Supergroup.Stramenopiles; Phylum.Stramenopiles_X; Class.Stramenopiles_XX; Subclass.Stramenopiles_XXX; Order.Stramenopiles_XXXX; Suborder.Stramenopiles_XXXXX; Family.Stramenopiles_XXXXXX; Genus.Stramenopile_Unknown; Species.Stramenopile	0.0	0.02608695652173913	0.02755366113563708	0.045620088173279665	0.03961038961038961	0.019195612431444242	0.00890092879256966	0.009477389656106146	0.0	0.038329368226275445	0.0706648070664807	0.028544061302681993	0.025246729400963966	0.02791085190585295	0.024567150210575574	0.0	0.004073319755600814	0.02857142857142857	0.0	0.03269977518904558	0.050556259681734966	0.002352414024868377	0.009903441445902451	0.0
f3f605a3ada5c432cd5304d869631932	Kingdom.Eukaryota; Supergroup.Stramenopiles; Phylum.Ochrophyta; Class.Chrysophyceae; Subclass.Chrysophyceae_X; Order.Chrysophyceae_XX; Suborder.Chrysophyceae_XXX; Family.Chrysophyceae_XXXX; Genus.Chrysophyceae_XXXXX; Species.Chrysophyceae_XXXXX	0.0	0.039065541855937705	0.041939412391536	0.03852788959171938	0.03484848484848485	0.03717245581962218	0.04489164086687306	0.05686433793663688	0.048102778607708396	0.061855670103092786	0.05718270571827057	0.05574712643678161	0.05301813174202433	0.0654030410331181	0.061534861956013105	0.023217700081944823	0.02484725050916497	0.07	0.03023758099352052	0.03055385244226446	0.03492465849880298	0.05040887196146522	0.047288932904184205	0.0
